sdg_id,key,value
1,1,Social protection
2,2,Zero hunger
3,3,Physical and mental health and well-being
4,4,Access to quality education at all levels
5,5,Gender support and opportunities
6,6,Clean water and sanitation
7,7,Affordable and clean energy
8,8,Decent work and economic growth
9,9,"Industry, innovation and infrastructure"
10,10,Reduced inequalities
11,11,Sustainable cities and communities
12,12,Responsible consumption and production
13,13,Climate action
14,14,Life below water
15,15,Life on land
16,16,"Peace, justice and strong institutions"
17,17,Partnership