org_id,name,baby,child,youth,adult
1,La Liane,1,1,1,1
2,Association Jeunesse Espoir (AJS),1,1,1,1
3,Connexion Sans Frontieres,0,1,1,1
4,African Network for Horticultural Development,0,0,1,1
5,African Network for Integrated Development (ANID),0,0,1,1
6,African Network for Support to Women Entrepreneurs (ANSWE),0,0,1,1
7,African Office for Development and Cooperation,1,1,1,1
8,Centre de Recherche Ouest Africaine (CROA),0,0,1,1
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),1,1,1,1
10,African Regional Centre for Technology (ARCT),0,0,0,1
11,Forum for Agricultural Research in Africa (FARA),0,0,0,1
12,Groupe Présence Locale,1,1,1,1
13,Institut africain de gestion urbaine (IAGU),0,0,0,0
14,OSIWA,0,0,0,1
15,Research and Action Group for Rural Development in the Third World,0,0,1,1
16,Student and Youth Traveler Organization (SYTO),0,0,1,1
17,TrustAfrica,0,0,1,1
18,UCJG/YMCA-SENEGAL,0,1,1,1
19,SOS Village,1,1,1,1
20,Alima,1,1,1,1
21,Amnesty International,1,1,1,1
22,BirdLife,0,0,0,0
23,CISV,0,0,1,1
24,Plan International,1,1,1,1
25,Croix Rouge Internationale,1,1,1,1
26,Caritas,1,1,1,1
27,FAO,0,0,0,0
28,GIZ,0,0,1,1
29,GRET,1,1,1,1
30,IntraHealth,0,0,1,1
31,IPAR,0,0,1,1
32,Médecins sans Frontière,1,1,1,1
33,OIM,1,1,1,1
34,African Peace Corps,0,0,1,1
35,PNUD / UNDP,1,1,1,1
36,Positive Planet,0,0,1,1
37,Save the Children,1,1,1,0
38,Secours Islamique France,1,1,1,1
39,Sightsavers,1,1,1,1
40,Solthis,1,1,1,1
41,UNESCO,1,1,1,1
42,UNHCR,1,1,1,1
43,UNICEF,1,1,0,0
44,UNOPS,0,0,0,0
45,USAID,0,0,1,1
46,ONG Tostan,1,1,1,1
47,Action Pour les Droits Humains et l'Amité,1,1,1,1
48,ALEFS (Avec les enfants et les femmes du Sénégal),1,1,1,1
49,Unies vers’elle,1,1,1,1
50,Keur talibé,1,1,1,0
51,Empire des enfants,1,1,1,0
52,ACTED,0,0,0,0
53,Action Contre la Faim,1,1,1,1
54,Solidarité pour les enfants des rues,1,1,1,0
55,AMOHS Association du mouvement humaniste de saint-louis,1,1,1,0
56,Maison de la Gare,1,1,1,1
57,Association des juristes sénégalaises,1,1,1,1
58,ONG Concept,1,1,1,1
59,Action femme Enfant (AFE),1,1,1,1
60,Village Pilote,1,1,1,1
61,ENDA Tiers Monde,0,0,0,0
62,ENDA Jeunesse Action,1,1,1,0
63,World Vision,1,1,1,1
64,Samu Social Sénégal,1,1,1,0
65,RAO (Réseau Afrique de l’Ouest pour la protection des enfants),0,0,0,0