key,key_text,value,translation_key,icon
dakar,dakar,Dakar,dakar,
saint_louis,saint_louis,Saint-Louis,saintLouis,
louga,louga,Louga,louga,
thies,thies,Thies,thies,
diourbel,diourbel,Diourbel,diourbel,
mattam,mattam,Matam,matam,
fatick,fatick,Fatick,fatick,
kaolack,kaolack,Kaolack,kaolack,
kaffrine,kaffrine,Kaffrine,kaffrine,
tamabacounda,tamabacounda,Tamabacounda,tambacounda,
kedougou,kedougou,Kedougou,kedougou,
kolda,kolda,Kolda,kolda,
sedhiou,sedhiou,Sedhiou,sedhiou,
ziguinohor,ziguinohor,Ziguinohor,ziguinchor,