dots_subcategory_id,sdg,sdg_target,dots_category_id
1,1,1.4,1
2,1,1.4,1
3,1,1.4,1
4,1,1.5,1
5,1,1.A,1
6,2,2.1,2
7,2,2.3,2
8,2,2.3,2
9,2,2.4,2
10,2,2.4,2
11,2,2.4,2
12,2,2.5,2
13,2,2.A,2
14,3,3.4,3
15,3,3.4,3
16,3,3.4,3
17,3,3.5,3
18,3,3.8,3
19,4,4.1,4
20,4,4.2,4
21,4,4.3,4
22,4,4.4,4
23,4,4.7,4
24,4,4.7,4
25,4,4.7,4
26,5,5.1,5
27,5,5.2,5
28,5,5.B,5
29,5,5.C,5
30,8,8.2,8
31,8,8.5,8
32,8,8.6,8
33,8,8.10,8
34,10,10.3,10
35,10,10.7,10
36,11,11.B,11
37,17,17.17,17
38,16,16.3,16
39,16,16.9,16
40,16,16.10,16